 @relation exp3
 @attribute "x1" real
 @attribute "x2" real
 @attribute class {0,1}
@data
0.6418,0.1777,1
0.4892,0.337,0
0.8102,0.2763,1
0.1384,0.9248,1
0.198,0.3423,0
0.8911,0.5916,0
0.2599,0.2351,0
0.7041,0.1591,1
0.8344,0.1404,1
0.7671,0.108,1
0.7693,0.992,0
0.3592,0.9007,1
0.4236,0.33,0
0.8031,0.6538,0
0.2514,0.4723,0
0.7751,0.5774,0
0.4717,0.0091,1
0.0521,0.1703,0
0.7375,0.4511,0
0.5942,0.729,0
0.7329,0.0536,1
0.9106,0.0961,1
0.2037,0.4962,0
0.6745,0.7508,0
0.3474,0.3033,0
0.0551,0.7669,1
0.8439,0.3646,1
0.3998,0.6285,0
0.4854,0.1652,0
0.3722,0.3732,0
0.0224,0.2096,0
0.769,0.0052,1
0.2226,0.6399,1
0.7049,0.9204,0
0.0709,0.0643,0
0.7492,0.2066,1
0.5253,0.8187,0
0.0472,0.1032,0
0.463,0.5266,0
0.519,0.2236,0
0.6443,0.833,0
0.8884,0.0097,1
0.2349,0.0901,0
0.0571,0.1044,0
0.2153,0.1578,0
0.1452,0.8448,1
0.452,0.7015,0
0.1869,0.085,0
0.2159,0.413,0
0.2584,0.0795,0
0.8239,0.14,1
0.5291,0.4118,0
0.9338,0.3921,1
0.7922,0.3664,1
0.2506,0.7229,1
0.5661,0.6219,0
0.7404,0.5211,0
0.3675,0.0312,1
0.338,0.2893,0
0.9868,0.7364,0
0.315,0.7555,1
0.2918,0.3373,0
0.2394,0.5487,0
0.2154,0.762,1
0.4867,0.0453,1
0.4732,0.8607,1
0.1055,0.8325,1
0.5835,0.8005,0
0.5418,0.9752,1
0.9699,0.8868,0
0.4386,0.5294,0
0.9442,0.6704,0
0.433,0.9456,1
0.9362,0.5196,1
0.3792,0.101,0
0.2544,0.0191,0
0.766,0.1817,1
0.3652,0.6301,0
0.3085,0.8483,1
0.1494,0.5932,1
0.7883,0.8148,0
0.5724,0.3628,0
0.0943,0.8444,1
0.6201,0.4335,0
0.6686,0.7502,0
0.7466,0.6931,0
0.3547,0.7721,1
0.9646,0.5129,1
0.7974,0.512,0
0.9037,0.9983,0
0.6824,0.4918,0
0.0409,0.5289,1
0.2554,0.2633,0
0.8048,0.5637,0
0.954,0.3789,1
0.194,0.2423,0
0.4371,0.1057,0
0.758,0.5744,0
0.9517,0.7639,0
0.3018,0.5997,0
0.6658,0.0916,1
0.6618,0.9556,0
0.293,0.947,1
0.2196,0.7308,1
0.6552,0.4599,0
0.5481,0.7107,0
0.0599,0.7651,1
0.8439,0.0731,1
0.7936,0.9424,0
0.707,0.1514,1
0.4786,0.7731,0
0.0177,0.3552,1
0.2964,0.8446,1
0.3732,0.4749,0
0.8755,0.0367,1
0.1955,0.1823,0
0.5765,0.4141,0
0.7857,0.7027,0
0.6418,0.4493,0
0.0969,0.4142,0
0.3386,0.2471,0
0.9736,0.5691,1
0.1312,0.7249,1
0.0244,0.4504,1
0.1101,0.3381,0
0.5881,0.9006,0
0.1043,0.7209,1
0.0302,0.6677,1
0.8412,0.0295,1
0.187,0.1689,0
0.7895,0.748,0
0.0516,0.6517,1
0.3547,0.9896,1
0.1149,0.6081,1
0.1061,0.5929,1
0.164,0.3463,0
0.9432,0.3423,1
0.6483,0.8563,0
0.206,0.9097,1
0.9206,0.3162,1
0.206,0.0095,0
0.8214,0.3718,1
0.1585,0.0288,0
0.7773,0.578,0
0.3612,0.9735,1
0.2459,0.5909,1
0.2222,0.2843,0
0.1054,0.0962,0
0.8379,0.2928,1
0.0704,0.4649,1
0.4171,0.0729,1
0.4062,0.0853,0
0.1425,0.6306,1
0.5595,0.6684,0
0.0897,0.9024,1
0.5543,0.303,0
0.5077,0.147,1
0.1907,0.6908,1
0.7449,0.3509,1
0.5353,0.8069,0
0.3384,0.7892,1
0.9823,0.8003,0
0.6199,0.8755,0
0.0086,0.2092,0
0.7424,0.6401,0
0.4519,0.486,0
0.7685,0.3008,1
0.8644,0.0014,1
0.7278,0.7334,0
0.5398,0.8612,0
0.7395,0.2987,1
0.6779,0.9723,0
0.5265,0.7827,0
0.7095,0.4394,0
0.3678,0.9883,1
0.6148,0.75,0
0.4228,0.8965,1
0.8504,0.5828,0
0.1971,0.8549,1
0.9509,0.8227,0
0.386,0.885,1
0.1689,0.1911,0
0.0766,0.7127,1
0.0948,0.6219,1
0.3643,0.0543,0
0.5523,0.9645,1
0.0064,0.7174,1
0.6506,0.2563,1
0.2635,0.2698,0
0.5465,0.1757,1
0.1914,0.2027,0
0.2437,0.2749,0
0.1931,0.4546,0
0.6365,0.5126,0
0.0378,0.7064,1
0.7967,0.7232,0
0.9253,0.0928,1
0.4416,0.8181,1
0.7795,0.9631,0
0.1543,0.8776,1
0.8689,0.2547,1
0.5314,0.5483,0
0.0715,0.2101,0
0.1091,0.3441,0
0.513,0.7493,0
0.0823,0.1975,0
0.2853,0.4795,0
0.0958,0.6644,1
0.0131,0.4926,1
0.6707,0.1873,1
0.2254,0.9978,1
0.9342,0.9663,0
0.2904,0.6077,0
0.5396,0.4483,0
0.2662,0.6199,1
0.294,0.8525,1
0.9407,0.3345,1
0.1251,0.7452,1
0.34,0.6037,0
0.4336,0.171,0
0.7148,0.7076,0
0.2309,0.2114,0
0.8191,0.9533,0
0.4451,0.2174,0
0.6704,0.0678,1
0.4567,0.5181,0
0.3413,0.4244,0
0.1812,0.8548,1
0.4079,0.0645,1
0.488,0.862,1
0.7428,0.8136,0
0.1171,0.6222,1
0.7222,0.8573,0
0.8224,0.6259,0
0.7718,0.2024,1
0.9148,0.7152,0
0.4997,0.0764,1
0.097,0.7068,1
0.2272,0.4596,0
0.4161,0.7297,0
0.3963,0.7976,1
0.4798,0.6549,0
0.5816,0.258,0
0.5022,0.7714,0
0.0233,0.4801,1
0.8176,0.8989,0
0.0919,0.7322,1
0.0041,0.1811,0
0.4581,0.3564,0
0.8116,0.2472,1
0.3903,0.3111,0
0.4126,0.1128,0
0.5351,0.5703,0
0.8455,0.6545,0
0.6399,0.5137,0
0.0061,0.8506,1
0.3723,0.7049,1
0.6419,0.2678,1
0.1994,0.3465,0
0.8923,0.9164,0
0.6052,0.4774,0
0.0252,0.089,0
0.4873,0.5981,0
0.4154,0.811,1
0.8002,0.703,0
0.0112,0.7068,1
0.0789,0.7376,1
0.5434,0.1557,1
0.14,0.3879,0
0.1422,0.5158,1
0.1398,0.7997,1
0.3688,0.1133,0
0.4693,0.5091,0
0.1575,0.4635,0
0.4189,0.4766,0
0.6899,0.8754,0
0.3815,0.5997,0
0.3189,0.1922,0
0.4904,0.9588,1
0.8371,0.9229,0
0.9291,0.7014,0
0.2992,0.682,1
0.8437,0.9227,0
0.0007,0.2854,0
0.6549,0.9091,0
0.2768,0.3901,0
0.7205,0.831,0
0.7894,0.0892,1
0.9587,0.62,1
0.6365,0.4902,0
0.4771,0.7796,0
0.1736,0.1263,0
0.2676,0.6998,1
0.0956,0.3245,0
0.3946,0.9926,1
0.5313,0.5789,0
0.5575,0.6424,0
0.88,0.9562,0
0.5378,0.8912,1
0.1586,0.851,1
0.3254,0.9566,1
0.8955,0.9647,0
0.7065,0.3669,1
0.4404,0.6286,0
0.0034,0.8182,1
0.573,0.703,0
0.5457,0.3969,0
0.4025,0.9181,1
0.7878,0.6056,0
0.739,0.1552,1
0.8416,0.5291,0
0.3129,0.414,0
0.2261,0.5519,0
0.0356,0.9088,1
0.3398,0.1217,0
0.5004,0.0842,1
0.7953,0.9274,0
0.3316,0.3536,0
0.491,0.4621,0
0.1074,0.6736,1
0.5853,0.8462,0
0.7552,0.3668,1
0.5377,0.5857,0
0.2094,0.1785,0
0.9564,0.8863,0
0.1298,0.0918,0
0.6342,0.4938,0
0.5025,0.3047,0
0.5282,0.1132,1
0.9704,0.4255,1
0.1517,0.2628,0
0.9216,0.6278,0
0.8578,0.8302,0
0.6616,0.2014,1
0.5901,0.6244,0
0.3115,0.037,0
0.9437,0.9887,0
0.2232,0.8593,1
0.0409,0.0896,0
0.9655,0.0466,1
0.3061,0.1263,0
0.2496,0.9632,1
0.0105,0.0899,0
0.9465,0.0981,1
0.3886,0.9312,1
0.7301,0.0956,1
0.0903,0.5753,1
0.2287,0.3449,0
0.769,0.6073,0
0.7271,0.1741,1
0.5422,0.1574,1
0.5179,0.8416,0
0.426,0.9888,1
0.2335,0.0831,0
0.0978,0.5072,1
0.946,0.2141,1
0.2498,0.8834,1
0.1209,0.1762,0
0.6718,0.3819,0
0.8458,0.7146,0
0.6235,0.3901,0
0.1187,0.396,0
0.2548,0.8738,1
0.6529,0.0314,1
0.2142,0.4612,0
0.9418,0.7969,0
0.7085,0.3468,1
0.4069,0.3044,0
0.8015,0.1951,1
0.3059,0.8276,1
0.9406,0.3557,1
0.6475,0.3387,0
0.4679,0.6697,0
0.6875,0.4375,0
0.3574,0.8789,1
0.6834,0.8928,0
0.7877,0.7407,0
0.8534,0.3472,1
0.6461,0.9889,1
0.8089,0.0151,1
0.4846,0.2654,0
0.2558,0.6867,1
0.4046,0.8344,1
0.0778,0.3976,0
0.4233,0.7172,0
0.0517,0.7015,1
0.2985,0.2109,0
0.2378,0.1056,0
0.3476,0.3259,0
0.9,0.2184,1
0.2483,0.865,1
0.4709,0.37,0
0.6349,0.8069,0
0.8712,0.1256,1
0.9912,0.3059,1
0.2066,0.7416,1
0.9451,0.1711,1
0.7301,0.8483,0
0.4474,0.1949,0
0.6277,0.7226,0
0.3946,0.2322,0
0.7068,0.3396,1
0.6753,0.1668,1
0.7447,0.8297,0
0.5943,0.3503,0
0.0472,0.9721,1
0.6089,0.8167,0
0.8125,0.4736,1
0.6776,0.4965,0
0.6403,0.1654,1
0.0521,0.118,0
0.4834,0.3244,0
0.2395,0.208,0
0.5818,0.5125,0
0.1906,0.7221,1
0.0472,0.5654,1
0.6839,0.055,1
0.0244,0.0339,0
0.7137,0.0758,1
0.4702,0.9105,1
0.5784,0.8022,0
0.3559,0.2438,0
0.533,0.8771,1
0.8842,0.8578,0
0.7721,0.0655,1
0.0537,0.438,1
0.8205,0.6238,0
0.6211,0.0505,1
0.707,0.1738,1
0.5938,0.775,0
0.4051,0.5037,0
0.8142,0.4575,1
0.8031,0.4213,1
0.448,0.3209,0
0.1967,0.6629,1
0.5207,0.7153,0
0.7676,0.2092,1
0.383,0.333,0
0.5493,0.7025,0
0.3178,0.7938,1
0.7992,0.4901,0
0.9679,0.7974,0
0.9492,0.9233,0
0.1298,0.344,0
0.6728,0.8974,0
0.8368,0.7694,0
0.5027,0.4833,0
0.1963,0.0973,0
0.4899,0.8413,1
0.924,0.4727,1
0.5043,0.4911,0
0.6693,0.1079,1
0.94,0.3329,1
0.3993,0.0012,1
0.5104,0.3162,0
0.1545,0.5433,1
0.3006,0.912,1
0.7713,0.7742,0
0.395,0.4612,0
0.1236,0.0456,0
0.196,0.4072,0
0.6781,0.9072,0
0.0758,0.2539,0
0.9788,0.3252,1
0.4581,0.8105,1
0.0848,0.8476,1
0.8868,0.405,1
0.8838,0.7668,0
0.4016,0.7335,1
0.8191,0.7356,0
0.9114,0.1766,1
0.8141,0.9361,0
0.9985,0.0508,1
0.2074,0.8261,1
0.1103,0.7071,1
0.3497,0.2486,0
0.7115,0.76,0
0.3062,0.9356,1
0.8979,0.4262,1
0.7222,0.7119,0
0.6517,0.282,1
0.5387,0.1148,1
0.6805,0.1438,1
0.6329,0.311,0
0.4388,0.4311,0
0.6705,0.0331,1
0.2563,0.8039,1
0.4832,0.301,0
0.6305,0.3388,0
0.7697,0.0303,1
0.0933,0.9378,1
0.2905,0.2748,0
0.7328,0.2039,1
0.3346,0.7079,1
0.4914,0.2629,0
0.2654,0.8718,1
0.9166,0.1526,1
0.1611,0.6432,1
0.7634,0.1944,1
0.3037,0.2075,0

