@relation synthetic1
@attribute x real
@attribute y real
@attribute class {1,0}
@data
0.4701,0.338,0
0.3621,0.2553,0
0.0963,0.0473,0
0.4638,0.4531,0
0.1081,0.4168,0
0.3751,0.1596,0
0.3879,0.2893,0
0.2264,0.1114,0
0.2809,0.1504,0
0.4527,0.3047,0
0.2074,0.3927,0
0.1998,0.4467,0
0.2189,0.3651,0
0.443,0.0966,0
0.3773,0.4313,0
0.3499,0.1886,0
0.1168,0.3144,0
0.1856,0.3976,0
0.2175,0.2176,0
0.4786,0.1354,0
0.2843,0.1929,0
0.4054,0.3897,0
0.1968,0.088,0
0.3295,0.0445,0
0.3225,0.4443,0
0.4592,0.4551,0
0.0613,0.0866,0
0.2375,0.4522,0
0.0356,0.3833,0
0.051,0.445,0
0.0169,0.0675,0
0.3071,0.1607,0
0.1599,0.3315,0
0.4312,0.4712,0
0.1352,0.1792,0
0.3317,0.4352,0
0.386,0.4064,0
0.0409,0.468,0
0.2616,0.3584,0
0.0757,0.0071,0
0.2357,0.2922,0
0.2671,0.4983,0
0.316,0.0219,0
0.3896,0.202,0
0.1004,0.187,0
0.0816,0.3104,0
0.2167,0.1843,0
0.3208,0.1257,0
0.1086,0.1173,0
0.1119,0.3472,0
0.9928,0.8999,1
0.7418,0.0579,1
0.8605,0.8403,1
0.2423,0.6644,1
0.6452,0.3908,1
0.7748,0.0706,1
0.0423,0.8008,1
0.8245,0.2256,1
0.0982,0.9759,1
0.7234,0.0012,1
0.8329,0.0568,1
0.7478,0.2467,1
0.5442,0.7424,1
0.6839,0.4625,1
0.4614,0.8556,1
0.9442,0.7942,1
0.366,0.915,1
0.4566,0.5338,1
0.7622,0.325,1
0.5221,0.4185,1
0.2649,0.691,1
0.5927,0.9851,1
0.1224,0.6364,1
0.2105,0.576,1
0.7339,0.7269,1
0.6654,0.2115,1
0.5659,0.9621,1
0.2912,0.6811,1
0.1608,0.6447,1
0.6745,0.1337,1
0.674,0.8377,1
0.7216,0.9262,1
0.4289,0.5928,1
0.7384,0.4908,1
0.8825,0.7657,1
0.3829,0.7126,1
0.2852,0.9929,1
0.7128,0.1789,1
0.0785,0.6884,1
0.6461,0.7913,1
0.5724,0.6305,1
0.926,0.1176,1
0.9581,0.4322,1
0.5728,0.8595,1
0.8176,0.4469,1
0.7157,0.2618,1
0.0063,0.7857,1
0.9644,0.3118,1
0.648,0.7419,1
0.1853,0.9283,1
0.8344,0.5043,1
0.3864,0.7364,1
0.2986,0.7283,1
0.6514,0.2824,1
0.6659,0.2861,1
0.0842,0.9191,1
0.7989,0.4494,1
0.5864,0.4007,1
0.7114,0.9734,1
0.7169,0.1624,1
0.722,0.0962,1
0.7589,0.5103,1
0.0989,0.8183,1
0.6006,0.0267,1
0.642,0.7163,1
0.6479,0.362,1
0.3244,0.5232,1
0.6134,0.9316,1
0.6203,0.2554,1
0.2611,0.9144,1
0.6772,0.9292,1
0.8938,0.654,1
0.7491,0.5955,1
0.6212,0.9901,1
0.666,0.6379,1
0.791,0.7625,1
0.7097,0.7755,1
0.0438,0.8357,1
0.0292,0.7748,1
0.2103,0.8898,1
0.6538,0.6502,1
0.5108,0.0927,1
0.814,0.235,1
0.9394,0.5852,1
0.5772,0.4589,1
0.656,0.1272,1
0.8203,0.4152,1
0.8914,0.8508,1
0.4315,0.6962,1
0.8403,0.8079,1
0.7396,0.9997,1
0.0413,0.5588,1
0.6985,0.4057,1
0.3116,0.6002,1
0.4641,0.7652,1
0.7091,0.7804,1
0.1758,0.5486,1
0.0474,0.7731,1
0.3813,0.7691,1
0.9153,0.7166,1
0.5692,0.1299,1
0.6432,0.3791,1
0.5311,0.9737,1
0.4397,0.7497,1
0.2262,0.5614,1
0.566,0.3051,1
0.275,0.5221,1
0.2724,0.8048,1
0.7523,0.6063,1
0.3675,0.7698,1
0.613,0.8083,1
0.0381,0.5228,1
0.766,0.603,1
0.9321,0.5593,1
0.858,0.147,1
0.4062,0.6742,1
0.5322,0.662,1
0.8235,0.5048,1
0.3636,0.6797,1
0.0369,0.9781,1
0.0334,0.7841,1
0.8934,0.423,1
0.7803,0.1431,1
0.3652,0.8201,1
0.4839,0.8161,1
0.356,0.8254,1
0.0038,0.8758,1
0.6806,0.9275,1
0.4194,0.8227,1
0.2966,0.554,1
0.2937,0.7623,1
0.7824,0.454,1
0.3612,0.7604,1
0.6325,0.7932,1
0.5242,0.4478,1
0.2898,0.711,1
0.8046,0.3635,1
0.9438,0.0958,1
0.6855,0.072,1
0.3951,0.7544,1
0.7576,0.6859,1
0.5312,0.6819,1
0.0153,0.7873,1
0.85,0.5347,1
0.7067,0.4739,1
0.0042,0.7784,1
0.9335,0.1002,1
0.5044,0.5271,1
0.8249,0.4846,1
0.2252,0.7815,1
0.7716,0.8719,1
0.7758,0.6337,1
0.9886,0.9149,1
0.8827,0.9818,1
0.0693,0.5021,1
0.6067,0.2867,1
0.7394,0.4825,1
0.9098,0.5551,1
0.1343,0.8835,1
0.9277,0.8056,1
0.8024,0.9216,1
0.5534,0.4142,1
0.9317,0.7806,1
0.5975,0.9147,1
0.6425,0.8019,1
0.7082,0.5714,1
0.4355,0.6984,1
0.9571,0.4936,1
0.3532,0.7876,1
0.5553,0.6316,1
0.4106,0.6289,1
0.5811,0.9539,1
0.5817,0.0113,1
0.4038,0.5397,1
0.4519,0.8384,1
0.9743,0.6521,1
0.5467,0.4609,1
0.6662,0.9384,1
0.805,0.4208,1
0.0306,0.8485,1
0.0032,0.5826,1
0.4924,0.8153,1
0.6781,0.3438,1
0.1442,0.5665,1
0.1108,0.5924,1
0.849,0.0275,1
0.4707,0.6283,1
0.5093,0.4641,1
0.3296,0.8212,1
0.5205,0.7932,1
0.2482,0.5474,1
0.7645,0.6041,1
0.5568,0.4942,1
0.6739,0.0685,1
0.6079,0.7223,1
0.2879,0.7316,1
0.6877,0.7772,1
0.4365,0.7221,1
0.7935,0.9029,1
0.7995,0.5817,1
0.7846,0.5966,1
0.6457,0.5888,1
0.8683,0.4594,1
0.6443,0.6656,1
0.7407,0.3454,1
0.2691,0.9534,1
0.9931,0.0186,1
0.7558,0.5716,1
0.507,0.6851,1
0.2159,0.6529,1
0.6555,0.1586,1
0.8505,0.6781,1
0.1981,0.7,1
0.7367,0.5106,1
0.9687,0.6044,1
0.8287,0.8748,1
0.6072,0.7783,1
0.5985,0.2687,1
0.6895,0.6816,1
0.5407,0.6038,1
0.3489,0.8433,1
0.994,0.2062,1
0.6943,0.9757,1
0.2492,0.528,1
0.2087,0.8961,1
0.5567,0.1559,1
0.075,0.6009,1
0.8999,0.3454,1
0.4386,0.5354,1
0.8959,0.0923,1
0.1039,0.8478,1
0.8278,0.55,1
0.6534,0.7999,1
0.5486,0.0137,1
0.6072,0.0289,1
0.281,0.6412,1
0.9431,0.9006,1
0.2382,0.5952,1
0.4428,0.6813,1
0.1907,0.7232,1
0.1793,0.7558,1
0.688,0.8216,1
0.6226,0.6646,1
0.8183,0.7916,1
0.9393,0.6496,1
0.0284,0.5711,1
0.1914,0.7998,1
0.8684,0.4386,1
0.3166,0.6527,1
0.3649,0.6782,1
0.4608,0.8004,1
0.7276,0.8998,1
0.8751,0.451,1
0.5836,0.7639,1
0.6237,0.369,1
0.1917,0.5012,1
0.7588,0.3185,1
0.9414,0.8488,1
0.6067,0.223,1
0.578,0.4657,1
0.3586,0.7982,1
0.91,0.6678,1
0.331,0.8167,1
0.3309,0.876,1
0.2068,0.6924,1
0.7217,0.7256,1
0.1604,0.8301,1
0.4555,0.8368,1
0.557,0.7082,1
0.5444,0.9608,1
0.6911,0.1565,1
0.6235,0.7291,1
0.5525,0.0507,1
0.6926,0.7088,1
0.0216,0.5877,1
0.7156,0.6687,1
0.7548,0.9698,1
0.9624,0.7302,1
0.0552,0.7931,1
0.8109,0.3792,1
0.1785,0.6618,1
0.1831,0.7901,1
0.7438,0.4545,1
0.8761,0.2236,1
0.4282,0.6142,1
0.9899,0.1681,1
0.3418,0.5426,1
0.6804,0.1708,1
0.9383,0.1841,1
0.9389,0.6429,1
0.5832,0.1474,1
0.5647,0.5608,1
0.0309,0.9365,1
0.9021,0.3689,1
0.3182,0.5897,1
0.6811,0.0854,1
0.5498,0.7483,1
0.4801,0.8291,1
0.3343,0.8686,1
0.8368,0.9996,1
0.9095,0.6436,1
0.7034,0.1491,1
0.2039,0.671,1
0.3598,0.9864,1
0.7359,0.9409,1
0.6622,0.5973,1
0.6593,0.4749,1
0.0425,0.5039,1
0.5554,0.5432,1
0.1529,0.6982,1

