@relation synthetic2
@attribute x real
@attribute y real
@attribute class {1,0}
@data
0.2675,0.4872,0
0.0056,0.4372,0
0.2304,0.4445,0
0.0876,0.0518,0
0.2843,0.1923,0
0.4539,0.3873,0
0.0285,0.3011,0
0.0307,0.185,0
0.3396,0.1003,0
0.3209,0.3431,0
0.0435,0.0006,0
0.3353,0.3864,0
0.0773,0.1107,0
0.1027,0.1535,0
0.2365,0.1034,0
0.144,0.2069,0
0.3805,0.1037,0
0.0991,0.3533,0
0.2173,0.0686,0
0.0033,0.3602,0
0.3735,0.767,1
0.0603,0.8083,1
0.8806,0.1924,1
0.1241,0.7547,1
0.53,0.6873,1
0.9861,0.5815,1
0.5647,0.6613,1
0.4007,0.7353,1
0.5056,0.2663,1
0.1594,0.5171,1
0.3278,0.9784,1
0.3285,0.9684,1
0.8503,0.2305,1
0.859,0.1406,1
0.9778,0.8732,1
0.6532,0.2089,1
0.731,0.5059,1
0.5905,0.5284,1
0.6441,0.3621,1
0.9193,0.7206,1
0.6416,0.2078,1
0.7072,0.9947,1
0.5062,0.9724,1
0.8464,0.6458,1
0.1992,0.9383,1
0.2001,0.9198,1
0.2327,0.688,1
0.0186,0.6891,1
0.4018,0.6229,1
0.832,0.1024,1
0.9537,0.3402,1
0.547,0.4304,1
0.0284,0.9277,1
0.2927,0.5109,1
0.8777,0.8122,1
0.1447,0.9352,1
0.6829,0.9259,1
0.6884,0.2929,1
0.585,0.4679,1
0.5784,0.3055,1
0.2207,0.8535,1
0.4215,0.7706,1
0.8514,0.6457,1
0.6378,0.2888,1
0.0417,0.7259,1
0.0457,0.6202,1
0.3447,0.5221,1
0.839,0.0478,1
0.1381,0.9607,1
0.4172,0.5787,1
0.1569,0.959,1
0.6197,0.411,1
0.5556,0.6646,1
0.1739,0.572,1
0.528,0.2051,1
0.6509,0.9556,1
0.8224,0.1427,1
0.5879,0.3434,1
0.6895,0.4747,1
0.748,0.7414,1
0.5825,0.0374,1
0.9058,0.2045,1
0.8686,0.1204,1
0.5693,0.6485,1
0.8035,0.2757,1
0.0709,0.784,1
0.0781,0.608,1
0.96,0.1883,1
0.7604,0.7935,1
0.2488,0.5571,1
0.1929,0.8607,1
0.885,0.0052,1
0.5919,0.4328,1
0.0864,0.5079,1
0.8997,0.3103,1
0.0802,0.6089,1
0.0972,0.8235,1
0.4279,0.8373,1
0.0898,0.8024,1
0.7861,0.5929,1
0.8519,0.0897,1
0.5964,0.029,1
0.8267,0.1871,1
0.8507,0.2397,1
0.8776,0.9409,1
0.9268,0.1399,1
0.8943,0.3049,1
0.1776,0.8877,1
0.1303,0.5971,1
0.6274,0.2779,1
0.4422,0.8659,1
0.6479,0.7301,1
0.5435,0.5277,1
0.0113,0.6294,1
0.1626,0.5225,1
0.7182,0.3298,1
0.8645,0.0809,1
0.8671,0.0534,1
0.3726,0.979,1
0.0383,0.7178,1
0.9093,0.4492,1
0.712,0.4852,1
0.5574,0.5066,1
0.6095,0.3966,1
0.3371,0.9668,1
0.6355,0.0002,1
0.0849,0.8721,1
0.935,0.7473,1
0.2609,0.9673,1
0.9004,0.3468,1
0.9817,0.9004,1
0.6281,0.355,1
0.3877,0.9667,1
0.1814,0.866,1
0.1334,0.7125,1
0.7702,0.0215,1
0.9034,0.1873,1
0.595,0.2501,1
0.1,0.9885,1
0.9751,0.8233,1
0.5872,0.4247,1
0.8792,0.4842,1
0.7986,0.735,1
0.796,0.5902,1
0.833,0.8285,1
0.766,0.2838,1
0.8731,0.1635,1
0.1232,0.7978,1
0.696,0.564,1
0.8527,0.0847,1
0.8079,0.2547,1
0.1879,0.7911,1
0.724,0.6823,1
0.0969,0.8786,1
0.6768,0.3968,1
0.7366,0.2551,1
0.2924,0.5022,1
0.5533,0.9005,1
0.9414,0.5613,1
0.3316,0.7143,1
0.7724,0.0458,1
0.6505,0.7031,1
0.5179,0.7283,1
0.0853,0.9932,1
0.2244,0.621,1
0.2086,0.9215,1
0.0054,0.9732,1
0.5441,0.1455,1
0.1575,0.9231,1
0.5723,0.7618,1
0.5731,0.0949,1
0.962,0.6078,1
0.5851,0.2015,1
0.7299,0.9182,1
0.5564,0.5021,1
0.8855,0.9219,1
0.8247,0.9004,1
0.3681,0.6787,1
0.556,0.8849,1
0.1989,0.5214,1
0.7523,0.5196,1
0.177,0.6034,1
0.8041,0.8981,1
0.277,0.6535,1
0.7297,0.1252,1
0.9736,0.9726,1
0.2202,0.9751,1
0.7429,0.4719,1
0.7939,0.5148,1
0.549,0.2003,1
0.442,0.7538,1
