@relation 'synthetic2-weka.filters.unsupervised.attribute.Remove-R2,4,6,8-99'

@attribute a0001 {0,1}
@attribute a0003 {0,1}
@attribute a0005 {0,1}
@attribute class {1,-1}

@data

0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
1,0,0,-1
1,0,1,-1
0,0,0,1
0,0,1,1
1,1,0,1
1,1,1,1
0,1,0,-1
0,1,1,-1
